source,question,answer
WTO,What is the World Trade Organization?,"The World Trade Organization (WTO) is an international organization that deals with the global rules of trade between nations, ensuring trade flows smoothly, predictably, and freely."
WTO,What are the main functions of the WTO?,"The WTO administers trade agreements, acts as a forum for trade negotiations, settles trade disputes, monitors national trade policies, and provides technical assistance to developing countries."
WTO,What is a trade dispute?,"A trade dispute arises when one WTO member believes another is violating a WTO agreement, resolved through the WTO's Dispute Settlement Body."
WTO,What are tariffs?,Tariffs are taxes imposed by governments on imported or exported goods to regulate trade or generate revenue.
WTO,What is the General Agreement on Tariffs and Trade (GATT)?,"GATT is a multilateral agreement aimed at reducing trade barriers, which was replaced by the WTO in 1995 but remains a core WTO agreement."
WTO,What is the Doha Development Agenda?,"The Doha Development Agenda is a WTO trade negotiation round launched in 2001 to address trade issues, particularly for developing countries."
WTO,What are non-tariff measures (NTMs)?,"Non-tariff measures are trade barriers other than tariffs, such as quotas, import licensing, or technical standards, that affect trade flows."
WTO,How does the WTO support developing countries?,"The WTO provides technical assistance, training, and special provisions like longer transition periods to help developing countries comply with trade rules."
WTO,What is the Trade Facilitation Agreement?,"The Trade Facilitation Agreement is a WTO agreement to simplify customs procedures, reduce trade costs, and enhance efficiency in global trade."
WTO,What is the role of the WTO Secretariat?,"The WTO Secretariat, based in Geneva, supports member governments by providing technical expertise, facilitating negotiations, and administering WTO activities."
CBP,What is the Automated Commercial Environment (ACE)?,"ACE is a U.S. Customs and Border Protection system for processing imports and exports, providing a single window for trade data submission."
CBP,"What is a customs broker?
Tyrif",A customs broker is a licensed professional who helps importers navigate U.S. customs regulations and processes for a fee.
CBP,What is the Harmonized Tariff Schedule (HTS)?,"The HTS is a system used by CBP to classify imported goods for duty, quota, and statistical purposes, based on the international Harmonized System."
CBP,What is a Foreign-Trade Zone (FTZ)?,"An FTZ is a secure area under CBP supervision where foreign goods can be stored, processed, or repackaged without immediate customs duties."
CBP,What is an Importer Security Filing (ISF)?,"An ISF, or ""10+2,"" is a CBP requirement for importers to submit specific cargo data at least 24 hours before a vessel departs for the U.S."
CBP,What are antidumping duties?,Antidumping duties are additional tariffs imposed by CBP to counteract foreign goods sold in the U.S. at unfairly low prices.
CBP,How does CBP enforce trade laws?,"CBP enforces trade laws through inspections, audits, and investigations to prevent illegal imports, forced labor products, and trade fraud."
CBP,What is the Entry Summary (CBP Form 7501)?,"The Entry Summary is a CBP document filed by importers to report shipment details, including value, classification, and duties owed."
CBP,What is the Customs-Trade Partnership Against Terrorism (C-TPAT)?,"C-TPAT is a CBP program that enhances supply chain security through partnerships with private companies, offering benefits like reduced inspections."
CBP,What are forced labor imports?,"Forced labor imports are goods produced with forced labor, which CBP prohibits from entering the U.S. under laws like the Uyghur Forced Labor Prevention Act."
CBP,What is a Withhold Release Order (WRO)?,"A WRO is issued by CBP to detain imports suspected of being produced with forced labor, pending further investigation."
DGFT,What is an Importer Exporter Code (IEC)?,An IEC is a 10-digit code required for individuals or businesses to undertake import or export activities in India.
DGFT,How can one apply for an IEC?,"An IEC can be applied for online through the DGFT website using the ANF-2A form, along with required documents like PAN and bank details."
DGFT,What is the Foreign Trade Policy (FTP)?,"The FTP is a set of guidelines issued by DGFT to regulate and promote India’s foreign trade, updated every five years."
DGFT,What is the Export Promotion Capital Goods (EPCG) scheme?,The EPCG scheme allows import of capital goods at zero or reduced customs duty for producing export-oriented goods or services.
DGFT,What is a Duty Exemption Scheme?,Duty Exemption Schemes allow duty-free import of inputs for export production under schemes like Advance Authorisation.
DGFT,What is the Merchandise Exports from India Scheme (MEIS)?,MEIS provides incentives to exporters in the form of duty credit scrips to offset import duties on inputs or capital goods.
DGFT,What is a Status Holder Certificate?,"A Status Holder Certificate is issued by DGFT to exporters with significant export performance, granting certain trade privileges."
DGFT,What is the Advance Authorisation Scheme?,The Advance Authorisation Scheme allows duty-free import of inputs for manufacturing products meant for export.
DGFT,What are Restricted Items in trade?,"Restricted items require a license or permission from DGFT for import or export, such as certain chemicals or wildlife products."
DGFT,What is the role of DGFT in trade promotion?,"DGFT formulates and implements the Foreign Trade Policy, issues licenses, and promotes exports through various incentive schemes."
Glossary,What is Tariff?,"A tax imposed by a government on goods entering or leaving the country, often used to regulate trade or generate revenue."
Glossary,What is Free Trade Agreement (FTA)?,"An agreement between countries to reduce or eliminate trade barriers, such as tariffs and quotas, to promote trade."
Glossary,What is Bill of Lading?,"A legal document issued by a carrier to a shipper, detailing the type, quantity, and destination of goods being transported."
Glossary,What is Incoterms?,International commercial terms that define the responsibilities of buyers and sellers in international trade transactions.
Glossary,What is Letter of Credit?,"A financial document issued by a bank guaranteeing payment to a seller on behalf of a buyer, subject to specified conditions."
Glossary,What is Dumping?,"The practice of selling goods in a foreign market at a price below their normal value, often to gain market share."
Glossary,What is Countervailing Duties?,Additional tariffs imposed to offset subsidies provided by a foreign government to its exporters.
Glossary,What is Customs Valuation?,The process of determining the value of imported goods for the purpose of assessing customs duties.
Glossary,What is Non-Tariff Barriers?,"Restrictions on trade other than tariffs, such as quotas, embargoes, or technical standards."
Glossary,What is Harmonized System (HS) Code?,An internationally standardized system of names and numbers to classify traded products for customs purposes.
